ClusterVersion,Timestamp,CurrentJob,CurrentStep,NodeName,CPU(m),Memory(Mi)
v1.30.9-eks-8cce635,2025-02-01T06:59:09Z,cpu-stress,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:11Z,cpu-stress,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:13Z,cpu-stress,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:16Z,cpu-stress,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:18Z,cpu-stress,Set up job,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:20Z,file-operations,Set up runner,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:22Z,file-operations,Harden Runner,ip-10-0-24-210.us-west-2.compute.internal,91,1627.316
v1.30.9-eks-8cce635,2025-02-01T06:59:24Z,setup-environment,Set up runner,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:26Z,docker-operation,Check out repository,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:28Z,setup-environment,Check out repository,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:31Z,cpu-stress,Install Node and Python Dependencies,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:33Z,cpu-stress,Install Node and Python Dependencies,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:35Z,cpu-stress,Install Node and Python Dependencies,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:37Z,cpu-stress,Install Node and Python Dependencies,ip-10-0-24-210.us-west-2.compute.internal,1507,1871.402
v1.30.9-eks-8cce635,2025-02-01T06:59:39Z,cpu-stress,Install Node and Python Dependencies,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:41Z,cpu-stress,Install Node and Python Dependencies,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:44Z,cpu-stress,Install Node and Python Dependencies,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:46Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:48Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:50Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:52Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,1996,2363.684
v1.30.9-eks-8cce635,2025-02-01T06:59:54Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,2000,3047.652
v1.30.9-eks-8cce635,2025-02-01T06:59:57Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,2000,3047.652
v1.30.9-eks-8cce635,2025-02-01T06:59:59Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,2000,3047.652
v1.30.9-eks-8cce635,2025-02-01T07:00:01Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,2000,3047.652
v1.30.9-eks-8cce635,2025-02-01T07:00:03Z,setup-environment,Set up Node and Python,ip-10-0-24-210.us-west-2.compute.internal,2000,3047.652
v1.30.9-eks-8cce635,2025-02-01T07:00:05Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,2000,3047.652
v1.30.9-eks-8cce635,2025-02-01T07:00:07Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,2000,3047.652
v1.30.9-eks-8cce635,2025-02-01T07:00:10Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,1990,3964.797
v1.30.9-eks-8cce635,2025-02-01T07:00:12Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,1990,3964.797
v1.30.9-eks-8cce635,2025-02-01T07:00:14Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,1990,3964.797
v1.30.9-eks-8cce635,2025-02-01T07:00:16Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,1990,3964.797
v1.30.9-eks-8cce635,2025-02-01T07:00:18Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,1990,3964.797
v1.30.9-eks-8cce635,2025-02-01T07:00:20Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,1990,3964.797
v1.30.9-eks-8cce635,2025-02-01T07:00:22Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,1990,3964.797
v1.30.9-eks-8cce635,2025-02-01T07:00:25Z,file-operations,File Operations,ip-10-0-24-210.us-west-2.compute.internal,2000,4047.820
